/content/drive/MyDrive/Tomato_Weed_Detection/almacen/57_IMG_4663.JPG,3277,2671,3662,2981,LYPES
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/57_IMG_4663.JPG,2409,2401,2807,2654,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/57_IMG_4663.JPG,1473,2082,2014,2674,POROL
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/57_IMG_4663.JPG,1627,2824,2029,3260,POROL
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,2725,1962,2782,2026,NCI
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,992,1109,1057,1158,NCI
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,278,972,498,1377,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,344,1378,659,1630,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,1096,1698,1510,2031,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,2660,3073,3181,3479,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,206,1722,335,1882,SOLNI
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,1,1721,84,1801,NCI
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,106,510,774,780,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,2,1,760,342,LYPES
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,962,1,1633,411,LYPES
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,2744,3,3041,98,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/63_IMG_4669.JPG,2185,2675,2316,2795,NCI
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/64_IMG_4670.JPG,807,2584,1210,3078,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/64_IMG_4670.JPG,2689,2263,3010,2587,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/64_IMG_4670.JPG,2432,2104,2696,2428,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/64_IMG_4670.JPG,2331,1716,2636,1901,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/64_IMG_4670.JPG,1840,1137,2405,1635,CYP_CYPRO
/content/drive/MyDrive/Tomato_Weed_Detection/almacen/64_IMG_4670.JPG,2650,977,3195,1534,CYP_CYPRO
